"","Subject","IQquartile","Income2005"
"1",2,"1stQuartile",5500
"2",6,"4thQuartile",65000
"3",7,"2ndQuartile",19000
"4",8,"2ndQuartile",36000
"5",9,"3rdQuartile",65000
"6",13,"3rdQuartile",8000
"7",16,"2ndQuartile",71000
"8",17,"4thQuartile",43000
"9",18,"4thQuartile",120000
"10",20,"3rdQuartile",64000
"11",21,"4thQuartile",253043
"12",22,"4thQuartile",45300
"13",29,"1stQuartile",85000
"14",34,"1stQuartile",150432
"15",37,"2ndQuartile",37000
"16",38,"1stQuartile",70000
"17",39,"1stQuartile",67000
"18",41,"3rdQuartile",120000
"19",42,"1stQuartile",45000
"20",44,"2ndQuartile",7200
"21",46,"4thQuartile",42000
"22",47,"3rdQuartile",66309
"23",49,"3rdQuartile",34000
"24",57,"1stQuartile",12000
"25",58,"4thQuartile",55500
"26",61,"4thQuartile",63000
"27",62,"2ndQuartile",30000
"28",63,"4thQuartile",108000
"29",69,"4thQuartile",120000
"30",73,"4thQuartile",186135
"31",78,"4thQuartile",14657
"32",86,"1stQuartile",14000
"33",87,"1stQuartile",17000
"34",89,"4thQuartile",62000
"35",97,"3rdQuartile",49000
"36",105,"4thQuartile",40000
"37",106,"4thQuartile",105000
"38",107,"3rdQuartile",43000
"39",117,"4thQuartile",83000
"40",119,"1stQuartile",12000
"41",120,"4thQuartile",150000
"42",121,"4thQuartile",41000
"43",126,"3rdQuartile",85000
"44",129,"4thQuartile",80000
"45",133,"3rdQuartile",52000
"46",137,"4thQuartile",175829
"47",138,"4thQuartile",8000
"48",139,"4thQuartile",120000
"49",140,"3rdQuartile",65000
"50",141,"4thQuartile",44768
"51",143,"3rdQuartile",52000
"52",145,"3rdQuartile",10000
"53",146,"4thQuartile",50000
"54",147,"1stQuartile",12000
"55",148,"3rdQuartile",21800
"56",149,"2ndQuartile",95000
"57",152,"4thQuartile",85000
"58",156,"1stQuartile",14000
"59",158,"4thQuartile",35100
"60",160,"3rdQuartile",65000
"61",162,"4thQuartile",76000
"62",165,"2ndQuartile",50000
"63",166,"3rdQuartile",82000
"64",174,"2ndQuartile",48000
"65",179,"1stQuartile",29000
"66",184,"3rdQuartile",6000
"67",185,"3rdQuartile",34000
"68",186,"4thQuartile",65000
"69",188,"1stQuartile",15000
"70",190,"3rdQuartile",92000
"71",191,"4thQuartile",118000
"72",192,"4thQuartile",26000
"73",193,"2ndQuartile",105000
"74",195,"4thQuartile",348204
"75",197,"1stQuartile",17000
"76",198,"3rdQuartile",130000
"77",199,"1stQuartile",38000
"78",200,"1stQuartile",35000
"79",201,"4thQuartile",16000
"80",202,"3rdQuartile",55000
"81",207,"1stQuartile",32000
"82",210,"3rdQuartile",50000
"83",218,"4thQuartile",261763
"84",219,"3rdQuartile",102000
"85",220,"4thQuartile",105000
"86",228,"1stQuartile",1600
"87",230,"2ndQuartile",55000
"88",232,"2ndQuartile",45000
"89",233,"1stQuartile",39000
"90",234,"2ndQuartile",140000
"91",235,"3rdQuartile",98000
"92",236,"3rdQuartile",30000
"93",239,"1stQuartile",9000
"94",240,"2ndQuartile",38000
"95",242,"1stQuartile",75000
"96",243,"3rdQuartile",94600
"97",244,"3rdQuartile",5000
"98",245,"4thQuartile",25000
"99",247,"2ndQuartile",79000
"100",248,"1stQuartile",2000
"101",253,"2ndQuartile",20000
"102",256,"2ndQuartile",3000
"103",257,"3rdQuartile",22000
"104",259,"2ndQuartile",14000
"105",260,"4thQuartile",65000
"106",269,"4thQuartile",154541
"107",273,"3rdQuartile",61500
"108",274,"4thQuartile",45000
"109",275,"3rdQuartile",52000
"110",279,"3rdQuartile",64500
"111",281,"3rdQuartile",99000
"112",282,"4thQuartile",14000
"113",283,"1stQuartile",53000
"114",284,"2ndQuartile",90000
"115",285,"1stQuartile",35000
"116",290,"1stQuartile",19000
"117",294,"3rdQuartile",12000
"118",299,"1stQuartile",25000
"119",306,"1stQuartile",40000
"120",310,"1stQuartile",70000
"121",313,"1stQuartile",37000
"122",317,"4thQuartile",31500
"123",321,"3rdQuartile",69000
"124",323,"3rdQuartile",80000
"125",324,"1stQuartile",23000
"126",327,"4thQuartile",28000
"127",335,"3rdQuartile",10000
"128",341,"2ndQuartile",125000
"129",342,"4thQuartile",96000
"130",346,"2ndQuartile",120000
"131",348,"2ndQuartile",164307
"132",350,"2ndQuartile",100000
"133",351,"1stQuartile",39000
"134",354,"3rdQuartile",9600
"135",355,"2ndQuartile",120000
"136",356,"2ndQuartile",50000
"137",357,"3rdQuartile",80000
"138",358,"1stQuartile",110000
"139",359,"2ndQuartile",60000
"140",360,"4thQuartile",34000
"141",362,"1stQuartile",48000
"142",367,"3rdQuartile",58000
"143",369,"4thQuartile",12000
"144",370,"4thQuartile",20000
"145",373,"1stQuartile",9000
"146",375,"1stQuartile",17500
"147",376,"4thQuartile",47000
"148",377,"2ndQuartile",10000
"149",381,"2ndQuartile",105000
"150",385,"2ndQuartile",41500
"151",386,"3rdQuartile",43000
"152",388,"4thQuartile",70000
"153",391,"1stQuartile",35000
"154",392,"4thQuartile",60000
"155",393,"3rdQuartile",68000
"156",399,"3rdQuartile",62500
"157",400,"4thQuartile",75000
"158",401,"1stQuartile",11500
"159",405,"1stQuartile",26000
"160",408,"4thQuartile",68000
"161",409,"4thQuartile",180733
"162",410,"3rdQuartile",31085
"163",411,"1stQuartile",16000
"164",414,"3rdQuartile",21000
"165",418,"3rdQuartile",28000
"166",422,"4thQuartile",55000
"167",426,"1stQuartile",82000
"168",433,"1stQuartile",21528
"169",434,"3rdQuartile",59000
"170",437,"3rdQuartile",22000
"171",438,"4thQuartile",36000
"172",439,"3rdQuartile",77000
"173",442,"3rdQuartile",15000
"174",443,"4thQuartile",47000
"175",444,"4thQuartile",1500
"176",445,"4thQuartile",40000
"177",446,"1stQuartile",32000
"178",449,"2ndQuartile",14000
"179",453,"3rdQuartile",40300
"180",456,"2ndQuartile",50000
"181",457,"4thQuartile",53000
"182",458,"4thQuartile",65000
"183",459,"4thQuartile",10000
"184",460,"1stQuartile",21400
"185",461,"4thQuartile",85000
"186",464,"4thQuartile",78000
"187",465,"4thQuartile",12000
"188",467,"4thQuartile",20000
"189",470,"1stQuartile",46000
"190",479,"3rdQuartile",86000
"191",480,"2ndQuartile",60000
"192",481,"4thQuartile",388725
"193",482,"3rdQuartile",122000
"194",484,"1stQuartile",30000
"195",485,"1stQuartile",12000
"196",486,"2ndQuartile",196424
"197",489,"3rdQuartile",85000
"198",491,"1stQuartile",20000
"199",495,"3rdQuartile",29821
"200",496,"4thQuartile",25000
"201",499,"2ndQuartile",36000
"202",500,"3rdQuartile",53000
"203",501,"4thQuartile",25000
"204",502,"3rdQuartile",90000
"205",503,"2ndQuartile",23000
"206",505,"1stQuartile",28000
"207",506,"2ndQuartile",43000
"208",520,"1stQuartile",73000
"209",521,"2ndQuartile",80000
"210",527,"3rdQuartile",50000
"211",533,"2ndQuartile",5000
"212",535,"2ndQuartile",20000
"213",540,"1stQuartile",60000
"214",543,"1stQuartile",98000
"215",547,"2ndQuartile",69000
"216",548,"3rdQuartile",15000
"217",550,"4thQuartile",22000
"218",553,"4thQuartile",10000
"219",554,"4thQuartile",1100
"220",556,"4thQuartile",147000
"221",557,"4thQuartile",1200
"222",558,"4thQuartile",36000
"223",560,"3rdQuartile",78500
"224",561,"3rdQuartile",42000
"225",562,"3rdQuartile",55000
"226",564,"2ndQuartile",5000
"227",565,"2ndQuartile",55000
"228",583,"3rdQuartile",36000
"229",585,"1stQuartile",25000
"230",594,"2ndQuartile",80000
"231",597,"1stQuartile",500
"232",604,"3rdQuartile",40000
"233",606,"3rdQuartile",35000
"234",608,"4thQuartile",27000
"235",609,"2ndQuartile",32000
"236",612,"2ndQuartile",46136
"237",613,"2ndQuartile",95000
"238",616,"1stQuartile",25000
"239",622,"2ndQuartile",36500
"240",631,"1stQuartile",18000
"241",632,"1stQuartile",4000
"242",636,"2ndQuartile",40000
"243",639,"3rdQuartile",35000
"244",640,"3rdQuartile",42000
"245",645,"4thQuartile",163172
"246",646,"1stQuartile",12500
"247",647,"2ndQuartile",61000
"248",649,"4thQuartile",110000
"249",650,"3rdQuartile",58000
"250",653,"4thQuartile",96000
"251",659,"2ndQuartile",75000
"252",662,"3rdQuartile",22000
"253",663,"3rdQuartile",85000
"254",664,"2ndQuartile",43000
"255",665,"3rdQuartile",30000
"256",667,"3rdQuartile",58000
