sex,program,ed_level
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,master-level degree
Male,none,master-level degree
Male,none,high school
Male,none,doctorate
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,master-level degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,some college
Male,none,master-level degree
Male,none,less than high school
Male,none,doctorate
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,less than high school
Male,none,doctorate
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,doctorate
Male,none,less than high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,high school
Male,none,some college
Male,none,master-level degree
Male,none,master-level degree
Male,none,high school
Male,none,master-level degree
Male,none,some college
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,less than high school
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,less than high school
Male,none,high school
Male,none,master-level degree
Male,none,master-level degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,high school
Male,none,some college
Male,none,high school
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,some college
Male,none,high school
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,high school
Male,none,less than high school
Male,none,doctorate
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,master-level degree
Male,none,master-level degree
Male,none,high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,less than high school
Male,none,some college
Male,none,doctorate
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,doctorate
Male,none,less than high school
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,less than high school
Male,none,high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,less than high school
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,high school
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,high school
Male,none,doctorate
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,high school
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,doctorate
Male,none,some college
Male,none,less than high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,high school
Male,none,doctorate
Male,none,master-level degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,less than high school
Male,none,some college
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,some college
Male,none,master-level degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,less than high school
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,high school
Male,none,master-level degree
Male,none,doctorate
Male,none,some college
Male,none,master-level degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,high school
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,some college
Male,none,doctorate
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,high school
Male,none,some college
Male,none,doctorate
Male,none,master-level degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,master-level degree
Male,none,some college
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,master-level degree
Male,none,bachelor degree
Male,none,high school
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,high school
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,less than high school
Male,none,high school
Male,none,some college
Male,none,less than high school
Male,none,high school
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,bachelor degree
Male,none,some college
Male,none,master-level degree
Male,none,doctorate
Male,none,bachelor degree
Male,none,high school
Male,none,master-level degree
Male,none,bachelor degree
Male,none,doctorate
Male,none,some college
Male,none,some college
Male,none,some college
Male,none,master-level degree
Male,none,less than high school
Male,none,less than high school
Male,none,bachelor degree
